nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
233,1,0,NN,10000,5,5,33,10000,3162,0.1,TRUE,TRUE
234,1,0,NN,10000,5,5,34,10000,3162,0.1,TRUE,TRUE
235,1,0,NN,10000,5,5,35,10000,3162,0.1,TRUE,TRUE
236,1,0,NN,10000,5,5,36,10000,3162,0.1,TRUE,TRUE
237,1,0,NN,10000,5,5,37,10000,3162,0.1,TRUE,TRUE
238,1,0,NN,10000,5,5,38,10000,3162,0.1,TRUE,TRUE
239,1,0,NN,10000,5,5,39,10000,3162,0.1,TRUE,TRUE
240,1,0,NN,10000,5,5,40,10000,3162,0.1,TRUE,TRUE
241,1,0,NN,10000,5,5,41,10000,3162,0.1,TRUE,TRUE
242,1,0,NN,10000,5,5,42,10000,3162,0.1,TRUE,TRUE
243,1,0,NN,10000,5,5,43,10000,3162,0.1,TRUE,TRUE
244,1,0,NN,10000,5,5,44,10000,3162,0.1,TRUE,TRUE
245,1,0,NN,10000,5,5,45,10000,3162,0.1,TRUE,TRUE
246,1,0,NN,10000,5,5,46,10000,3162,0.1,TRUE,TRUE
247,1,0,NN,10000,5,5,47,10000,3162,0.1,TRUE,TRUE
248,1,0,NN,10000,5,5,48,10000,3162,0.1,TRUE,TRUE
249,1,0,NN,10000,5,5,49,10000,3162,0.1,TRUE,TRUE
250,1,0,NN,10000,5,5,50,10000,3162,0.1,TRUE,TRUE
251,1,0,SVM,100,5,5,1,10000,3162,0.1,TRUE,TRUE
252,1,0,SVM,100,5,5,2,10000,3162,0.1,TRUE,TRUE
253,1,0,SVM,100,5,5,3,10000,3162,0.1,TRUE,TRUE
254,1,0,SVM,100,5,5,4,10000,3162,0.1,TRUE,TRUE
255,1,0,SVM,100,5,5,5,10000,3162,0.1,TRUE,TRUE
256,1,0,SVM,100,5,5,6,10000,3162,0.1,TRUE,TRUE
257,1,0,SVM,100,5,5,7,10000,3162,0.1,TRUE,TRUE
258,1,0,SVM,100,5,5,8,10000,3162,0.1,TRUE,TRUE
259,1,0,SVM,100,5,5,9,10000,3162,0.1,TRUE,TRUE
260,1,0,SVM,100,5,5,10,10000,3162,0.1,TRUE,TRUE
261,1,0,SVM,100,5,5,11,10000,3162,0.1,TRUE,TRUE
262,1,0,SVM,100,5,5,12,10000,3162,0.1,TRUE,TRUE
263,1,0,SVM,100,5,5,13,10000,3162,0.1,TRUE,TRUE
264,1,0,SVM,100,5,5,14,10000,3162,0.1,TRUE,TRUE
265,1,0,SVM,100,5,5,15,10000,3162,0.1,TRUE,TRUE
266,1,0,SVM,100,5,5,16,10000,3162,0.1,TRUE,TRUE
267,1,0,SVM,100,5,5,17,10000,3162,0.1,TRUE,TRUE
268,1,0,SVM,100,5,5,18,10000,3162,0.1,TRUE,TRUE
269,1,0,SVM,100,5,5,19,10000,3162,0.1,TRUE,TRUE
270,1,0,SVM,100,5,5,20,10000,3162,0.1,TRUE,TRUE
271,1,0,SVM,100,5,5,21,10000,3162,0.1,TRUE,TRUE
272,1,0,SVM,100,5,5,22,10000,3162,0.1,TRUE,TRUE
273,1,0,SVM,100,5,5,23,10000,3162,0.1,TRUE,TRUE
274,1,0,SVM,100,5,5,24,10000,3162,0.1,TRUE,TRUE
275,1,0,SVM,100,5,5,25,10000,3162,0.1,TRUE,TRUE
276,1,0,SVM,100,5,5,26,10000,3162,0.1,TRUE,TRUE
277,1,0,SVM,100,5,5,27,10000,3162,0.1,TRUE,TRUE
278,1,0,SVM,100,5,5,28,10000,3162,0.1,TRUE,TRUE
279,1,0,SVM,100,5,5,29,10000,3162,0.1,TRUE,TRUE
280,1,0,SVM,100,5,5,30,10000,3162,0.1,TRUE,TRUE
281,1,0,SVM,100,5,5,31,10000,3162,0.1,TRUE,TRUE
282,1,0,SVM,100,5,5,32,10000,3162,0.1,TRUE,TRUE
283,1,0,SVM,100,5,5,33,10000,3162,0.1,TRUE,TRUE
284,1,0,SVM,100,5,5,34,10000,3162,0.1,TRUE,TRUE
285,1,0,SVM,100,5,5,35,10000,3162,0.1,TRUE,TRUE
286,1,0,SVM,100,5,5,36,10000,3162,0.1,TRUE,TRUE
287,1,0,SVM,100,5,5,37,10000,3162,0.1,TRUE,TRUE
288,1,0,SVM,100,5,5,38,10000,3162,0.1,TRUE,TRUE
289,1,0,SVM,100,5,5,39,10000,3162,0.1,TRUE,TRUE
290,1,0,SVM,100,5,5,40,10000,3162,0.1,TRUE,TRUE
291,1,0,SVM,100,5,5,41,10000,3162,0.1,TRUE,TRUE
292,1,0,SVM,100,5,5,42,10000,3162,0.1,TRUE,TRUE
293,1,0,SVM,100,5,5,43,10000,3162,0.1,TRUE,TRUE
294,1,0,SVM,100,5,5,44,10000,3162,0.1,TRUE,TRUE
295,1,0,SVM,100,5,5,45,10000,3162,0.1,TRUE,TRUE
